kelas,hari,tanggal,mata_kuliah,waktu
4kb01,Kamis,31 Juli 2025,Sistem Waktu Nyata,11.45- 12.45
4kb01,Jum'at,01 Agustus 2025,Pengantar Ubiquitous Computing,08.00 - 09.00
4kb01,Jum'at,01 Agustus 2025,Simulasi dan Pemodelan,10.30 - 11.30
4kb02,Selasa,29 Juli 2025,Analisis Kinerja Sistem,08.00 - 09.00
4kb02,Selasa,29 Juli 2025,Sistem Multimedia,10.30 - 11.30
4kb02,Rabu,30 Juli 2025,Computer Vision,10.30 - 11.30
4kb02,Kamis,31 Juli 2025,Kewirausahaan Teknologi Informasi,09.15 - 10.15
4kb02,Kamis,31 Juli 2025,Sistem Waktu Nyata,11.45- 12.45
4kb02,Jum'at,01 Agustus 2025,Pengantar Ubiquitous Computing,08.00 - 09.00
4kb02,Jum'at,01 Agustus 2025,Simulasi dan Pemodelan,10.30 - 11.30
4kb03,Selasa,29 Juli 2025,Analisis Kinerja Sistem,08.00 - 09.00
4kb03,Selasa,29 Juli 2025,Sistem Multimedia,10.30 - 11.30
4kb03,Rabu,30 Juli 2025,Computer Vision,10.30 - 11.30
4kb03,Kamis,31 Juli 2025,Kewirausahaan Teknologi Informasi,09.15 - 10.15
4kb03,Kamis,31 Juli 2025,Sistem Waktu Nyata,11.45- 12.45
4kb03,Jum'at,01 Agustus 2025,Pengantar Ubiquitous Computing,08.00 - 09.00
4kb03,Jum'at,01 Agustus 2025,Simulasi dan Pemodelan,10.30 - 11.30
4kb04,Selasa,29 Juli 2025,Analisis Kinerja Sistem,08.00 - 09.00
4kb04,Selasa,29 Juli 2025,Sistem Multimedia,10.30 - 11.30
4kb04,Rabu,30 Juli 2025,Computer Vision,10.30 - 11.30
4kb04,Kamis,31 Juli 2025,Kewirausahaan Teknologi Informasi,09.15 - 10.15
4kb04,Kamis,31 Juli 2025,Sistem Waktu Nyata,11.45- 12.45
4kb04,Jum'at,01 Agustus 2025,Pengantar Ubiquitous Computing,08.00 - 09.00
4kb04,Jum'at,01 Agustus 2025,Simulasi dan Pemodelan,10.30 - 11.30
4kb05,Selasa,29 Juli 2025,Analisis Kinerja Sistem,08.00 - 09.00
4kb05,Selasa,29 Juli 2025,Sistem Multimedia,10.30 - 11.30
4kb05,Rabu,30 Juli 2025,Computer Vision,10.30 - 11.30
